clus,pois,latitude,longitude,time,categories
70,Giubileo_dei_Giovani_1984;Obelisco_Vaticano;Giornata_Mondiale_della_Gioventù_1985,41.90222222,12.45722222,604.8192678,giornatamondialedellagioventù;chiesacattolicainitalia;giornatamondialedellagioventù;obelischidiroma;cittàdelvaticano
72,Collegio_Romano,41.89783,12.48044,240,romar.ixpigna;cittàdelvaticano;palazzidiroma
73,Chiesa_di_Sant'Antonio_in_Campo_Marzio,41.90181111,12.47445556,240,chiesediroma;chiesetitolaridiroma;chiesediromadelxvsecolo;chiesenazionalidiroma
74,Chiesa_di_Sant'Andrea_al_Quirinale;Ara_dell'incendio_neroniano,41.90043611,12.48905278,435.6363636,chiesediroma;architetturebarocchediroma;templiantichidiroma;chiesetitolaridiroma;disposizionifonichediorganiacanne;chiesediromadelxviisecolo;romar.iitrevi;architettureantichediroma
75,Chiesa_di_Santa_Maria_della_Vittoria_(Roma),41.90472222,12.49416667,364.754717,architetturerinascimentalidiroma;chiesetitolaridiroma;chiesediromadelxviisecolo;architetturebarocchediroma;chiesediroma
76,Giardino_degli_Aranci,41.88594,12.479436,240,romar.xiiripa;parchidiroma
77,"Università_degli_Studi_di_Roma_""Tor_Vergata""",41.85361111,12.60333333,240,universitàdiroma
78,Chiesa_di_San_Francesco_a_Ripa,41.88472222,12.47277778,473.3278689,chiesetitolaridiroma;chiesediroma
80,Torrino,41.81482,12.44459,240,romaz.xxviitorrino
83,Basilica_di_Sant'Andrea_delle_Fratte,41.90362,12.48355,240,basilichediroma;architetturebarocchediroma;chiesediroma;chiesetitolaridiroma;disposizionifonichediorganiacanne
84,Tempio_di_Vesta_(Palatino);Tempio_di_Giunone_Sospita;Capanne_del_Palatino;Casa_di_Augusto;Tempio_di_Apollo_Palatino;Scalae_Caci;Domus_Transitoria;Casa_di_Livia;Tempio_della_Magna_Mater,41.88917222,12.484925,337.9789916,romar.xcampitelli;romar.xcampitelli;templiantichidiroma;templiantichidiroma;romar.xcampitelli;architetturescomparsediroma;romar.xcampitelli;domusdiroma;templiantichidiroma;stradeantichediroma;domusdiroma;architetturescomparsediroma;domusdiroma;architetturescomparsediroma;sitiarcheologicidiroma;romar.xcampitelli;romar.xcampitelli;palazziimperialiromani;architetturescomparsediroma;architetturescomparsediroma;romar.xcampitelli;romar.xcampitelli;templiantichidiroma;romar.xcampitelli
85,Basilica_di_Santa_Maria_degli_Angeli_e_dei_Martiri,41.90305556,12.49694444,320.5501355,chiesediromadelxvisecolo;disposizionifonichediorganiacanne;chiesetitolaridiroma;architetturerinascimentalidiroma;chiesediroma;basilichediroma;architetturebarocchediroma
86,Palazzo_Corsini_alla_Lungara,41.893329,12.466586,683.5833333,museidiroma;romar.xiiitrastevere;palazzidiroma
87,Obelisco_Sallustiano;Chiesa_della_Trinità_dei_Monti,41.90638889,12.48361111,327.6280488,chiesediromadelxvisecolo;architetturerinascimentalidiroma;obelischidiroma;romar.ivcampomarzio;chiesenazionalidiroma;chiesediroma;chiesetitolaridiroma
88,Foro_di_Traiano,41.89555556,12.48583333,359.799117,foridiroma;romar.imonti
89,Tempio_di_Minerva_Medica,41.89401389,12.512,566.4615385,sitiarcheologicidiroma;ninfeidiroma;romar.xvesquilino
90,Chiesa_di_Santa_Maria_in_Portico_in_Campitelli,41.89312,12.47949,240,edificidicultodedicatiamaria;chiesediromadelxviisecolo;chiesetitolaridiroma;architetturebarocchediroma;chiesediroma
91,Basilica_dei_Santi_Ambrogio_e_Carlo_al_Corso,41.90537778,12.478075,329.8292683,basilichediroma;chiesediroma;disposizionifonichediorganiacanne;chiesenazionalidiroma;chiesetitolaridiroma;chiesediromadelxviisecolo
92,Basilica_di_San_Lorenzo_in_Lucina,41.90341667,12.47866111,313.7923077,chiesediroma;chiesetitolaridiroma;disposizionifonichediorganiacanne;basilichediroma
93,Basilica_di_Santa_Maria_in_Trastevere,41.88944444,12.46972222,564.7770992,chiesetitolaridiroma;chiesediroma;edificidicultodedicatiamaria;basilichediroma
94,Complesso_monumentale_di_Sant'Agnese_fuori_le_mura,41.92279,12.51934,256.05,chiesediroma;romaq.xviitrieste
96,Chiesa_di_Santa_Maria_Consolatrice,41.8977,12.53543,2358,chiesediromadelxxsecolo;chiesediroma;chiesetitolaridiroma
97,Mura_leonine,41.90305556,12.45972222,259.971831,muradiroma;romar.xivborgo
