id;name;latitude;longitude
257;Chiesa_di_San_Rocco_all'Augusteo;41.9055194444;12.4756944444
258;Basilica_di_Santa_Prassede;41.8961111111;12.4986111111
259;Chiesa_di_San_Giovanni_a_Porta_Latina;41.8773;12.501803
260;Basilica_di_Santa_Pudenziana;41.8986111111;12.4955555556
261;Forte_Bravetta;41.867;12.42445
262;Stazione_di_Ipogeo_degli_Ottavi;41.96887;12.40922
263;Mausoleo_di_Augusto;41.9061111111;12.4763888889
264;Tempio_di_Adriano;41.9;12.4794444444
265;Settizonio;41.8854;12.4889
266;Basilica_dei_Santi_Cosma_e_Damiano;41.8919444444;12.4872222222
267;Foro_Boario;41.8888888889;12.4811111111
268;Chiesa_di_Santa_Prisca;41.8830472222;12.4839611111
269;Tempio_del_Divo_Romolo;41.8919;12.487225
270;Piazza_d'Aracoeli;41.8944027778;12.4810277778
271;Marranella;41.88185;12.5423
272;Anagnina_(metropolitana_di_Roma);41.84152;12.58631
273;Cinecittà_(metropolitana_di_Roma);41.84871;12.57539
274;Subaugusta_(metropolitana_di_Roma);41.85354;12.56823
275;Giulio_Agricola_(metropolitana_di_Roma);41.85664;12.56226
276;Lucio_Sestio_(metropolitana_di_Roma);41.85989;12.55707
277;Cornelia_(metropolitana_di_Roma);41.90216;12.42519
278;Ponte_Lungo_(metropolitana_di_Roma);41.87799;12.51892
279;Numidio_Quadrato_(metropolitana_di_Roma);41.86205;12.552727
280;Arco_di_Travertino_(metropolitana_di_Roma);41.865918;12.53471
281;Porta_Furba_-_Quadraro_(metropolitana_di_Roma);41.86378;12.54827
282;Colli_Albani_-_Parco_Appia_Antica_(metropolitana_di_Roma);41.87008;12.52902
283;Furio_Camillo_(metropolitana_di_Roma);41.87485;12.523127
284;Laurentina_(metropolitana_di_Roma);41.82742;12.48147
285;EUR_Fermi_(metropolitana_di_Roma);41.828782;12.471349
286;EUR_Palasport_(metropolitana_di_Roma);41.830337;12.465534
287;EUR_Magliana_(metropolitana_di_Roma);41.839418;12.463174
288;Marconi_(metropolitana_di_Roma);41.849312;12.47506
289;Basilica_San_Paolo_(metropolitana_di_Roma);41.856073;12.47759
290;Garbatella_(metropolitana_di_Roma);41.86561;12.48328
291;Piramide_(metropolitana_di_Roma);41.874746;12.482539
292;Castro_Pretorio_(metropolitana_di_Roma);41.906365;12.505531
293;Policlinico_(metropolitana_di_Roma);41.90904;12.51199
294;Tiburtina_(metropolitana_di_Roma);41.915595;12.561665
295;Quintiliani_(metropolitana_di_Roma);41.916178;12.538619
296;Monti_Tiburtini_(metropolitana_di_Roma);41.916034;12.547266
297;Pietralata_(metropolitana_di_Roma);41.915595;12.561665
298;Ponte_Mammolo_(metropolitana_di_Roma);41.92025;12.566085
299;Rebibbia_(metropolitana_di_Roma);41.92573;12.5728
300;Teatro_Ambra_Jovinelli;41.89562;12.50797
301;Stazione_di_Roma_Saxa_Rubra;41.97;12.49
302;Cappella_Sistina;41.9030555556;12.4544444444
303;Stazione_di_Roma_Nomentana;41.93256;12.52355
304;Torpignattara;41.87927;12.54372
305;Stazione_di_Vitinia;41.795632;12.40322
306;Stazione_di_Tor_di_Valle;41.81936;12.4363
307;Stazione_di_Roma_Porta_San_Paolo;41.87596;12.481767
308;Porta_Tiburtina;41.8975;12.5102777778
309;Romanina;41.8428;12.59994
310;Chiesa_di_Santa_Maria_Antiqua;41.8909722222;12.4855555556
311;La_Giustiniana;41.9823;12.41163
312;Forte_Prenestino;41.89235;12.56901
313;Clivus_Argentarius;41.8936555556;12.4845055556
314;Stazione_di_Roma_Piazza_Euclide;41.92755;12.480812
315;Stazione_di_Roma_Acqua_Acetosa;41.93136;12.486734
316;Stazione_di_Roma_Campi_Sportivi;41.933628;12.491745
317;Stazione_di_Tor_di_Quinto;41.95019;12.490232
318;Stazione_di_Roma_Due_Ponti;41.95813;12.48654
319;Stazione_di_Roma_Grottarossa;41.9658;12.490693
320;Stazione_di_Roma_Centro_Rai;41.98031;12.493794
321;Stazione_di_Roma_Labaro;41.98787;12.494363
322;Stazione_di_Palmiro_Togliatti;41.90262;12.574
323;Stazione_di_Serenissima;41.9;12.557437
324;Stazione_di_Roma_Ostiense;41.8728;12.484717
325;Geografia_della_Città_del_Vaticano;41.9027777778;12.4525
326;Arco_di_Druso;41.8737944444;12.5014055556
327;Fontana_dell'Acqua_Acetosa;41.931;12.485
328;Porta_Esquilina;41.8958333333;12.5013888889
329;Quarticciolo;41.8916;12.57651
330;Galleria_nazionale_d'arte_antica;41.9036111111;12.4902777778
331;Capannelle_(zona_di_Roma);41.83222;12.57702
